,ShirtNumber,PlayerName,Team,Sucessful,Errors,Attempts,AveragePerMatch,Success%,TotalAttempts
181,16,Peña Isabel Yonkaira Paola,DOM,0,0,13,0.0,0.0,13
182,17,Mambru Casilla Gina Altagracia,DOM,0,0,4,0.0,0.0,4
183,18,De La Cruz De Peña Bethania,DOM,0,0,23,0.0,0.0,23
184,20,Martinez Brayelin Elizabeth,DOM,0,1,14,0.0,0.0,15
185,21,Martinez Jineiry,DOM,0,0,23,0.0,0.0,23
186,23,Gonzalez Lopez Gaila Ceneida,DOM,0,0,8,0.0,0.0,8
187,25,Martinez Caro Larysmer,DOM,0,0,0,,,0
188,6,Dixon Tetori,USA,0,1,0,0.0,0.0,1
189,8,Tapp Hannah,USA,0,0,1,0.0,0.0,1
190,11,Drews Andrea,USA,0,2,8,0.0,0.0,10
191,13,Wilhite Sarah,USA,0,0,4,0.0,0.0,4
192,15,Hill Kimberly,USA,0,0,9,0.0,0.0,9
193,16,Akinradewo Foluke,USA,0,1,3,0.0,0.0,4
194,17,Courtney Megan,USA,0,0,8,0.0,0.0,8
195,22,Washington Haleigh,USA,0,0,5,0.0,0.0,5
196,4,Bonifacio Sara,ITA,0,1,10,0.0,0.0,11
197,15,Nwakalor Sylvia Chinelo,ITA,0,0,15,0.0,0.0,15
198,19,Mingardi Camilla,ITA,0,0,9,0.0,0.0,9
199,21,Lubian Marina,ITA,0,0,13,0.0,0.0,13
200,24,Mazzaro Alessia,ITA,0,0,9,0.0,0.0,9
201,27,Furlan Eleonora,ITA,0,0,3,0.0,0.0,3
202,28,Melli Giulia,ITA,0,0,16,0.0,0.0,16
203,29,D'Odorico Sofia,ITA,0,0,13,0.0,0.0,13
204,31,Fersino Eleonora,ITA,0,2,88,0.0,0.0,90
205,32,Omoruyi Oghosasere Loveth,ITA,0,1,7,0.0,0.0,8
206,3,Alagierska Klaudia,POL,0,0,15,0.0,0.0,15
207,5,Kakolewska Agnieszka,POL,0,0,6,0.0,0.0,6
208,9,Stysiak Magdalena,POL,0,0,14,0.0,0.0,14
209,10,Efimienko-Mlotkowska Zuzanna,POL,0,0,4,0.0,0.0,4
210,11,Lukasik Martyna,POL,0,1,17,0.0,0.0,18
211,19,Fedusio Monika,POL,0,0,1,0.0,0.0,1
212,20,Czyrnianska Martyna,POL,0,0,4,0.0,0.0,4
213,30,Rozanski Olivia,POL,0,0,1,0.0,0.0,1
214,2,De Oliveira Saad Gattaz Caroline,BRA,0,1,28,0.0,0.0,29
215,5,Da Silva Adenizia,BRA,0,0,4,0.0,0.0,4
216,6,Alexandre Costa Nunes Nyeme Victoria,BRA,0,0,2,0.0,0.0,2
217,10,Braga Guimaraes Gabriela,BRA,0,0,19,0.0,0.0,19
218,11,Caixeta Tandara,BRA,0,1,18,0.0,0.0,19
219,13,Castro De Paula Blassioli Sheilla,BRA,0,0,0,,,0
220,15,Da Silva Ana Carolina,BRA,0,0,25,0.0,0.0,25
221,16,Rodrigues Fernanda,BRA,0,1,28,0.0,0.0,29
222,17,Menezes Oliveira de Souza Ana Cristina,BRA,0,0,1,0.0,0.0,1
223,18,Brait Camila,BRA,0,0,106,0.0,0.0,106
224,20,Correa Ana Beatriz,BRA,0,0,15,0.0,0.0,15
225,24,Geraldo Teixeira Lorenne,BRA,0,0,0,,,0
226,6,White Jazmine Ruth,CAN,0,0,1,0.0,0.0,1
227,7,Van Buskirk Layne,CAN,0,0,0,,,0
228,9,Gray Alexa,CAN,0,0,25,0.0,0.0,25
229,11,Mitrovic Andrea,CAN,0,1,23,0.0,0.0,24
230,12,Cross Jennifer,CAN,0,0,17,0.0,0.0,17
231,14,Howe Hilary,CAN,0,1,26,0.0,0.0,27
232,15,Joseph Shainah,CAN,0,2,3,0.0,0.0,5
233,16,Livingston Caroline,CAN,0,0,1,0.0,0.0,1
234,19,Maglio Emily,CAN,0,0,23,0.0,0.0,23
235,23,Austin Parker Jane,CAN,0,0,0,,,0
236,22,Nilapa Chatsuda,THA,0,0,4,0.0,0.0,4
237,4,Lemmens Nathalie,BEL,0,0,3,0.0,0.0,3
238,9,Gorbunova Valeriia,RUS,0,0,0,,,0
239,28,Araujo De Souza Mayany Cristina,BRA,0,0,2,0.0,0.0,2
240,12,Perez Flores Yokaty,DOM,0,0,10,0.0,0.0,10
241,14,Bartsch-Hackley Michelle,USA,0,0,30,0.0,0.0,30
242,21,Druzkowska Karolina,POL,0,0,3,0.0,0.0,3
243,78,Gryka Aleksandra,POL,0,0,0,,,0
244,7,Lohuis Juliet,NED,0,0,11,0.0,0.0,11
245,21,Meijers Annick,NED,0,0,0,,,0
246,10,Stigrot Lena,GER,0,1,8,0.0,0.0,9
247,24,Cekulaev Anastasia,GER,0,0,0,,,0
248,7,Montibeller Rosamaria,BRA,0,0,1,0.0,0.0,1
249,10,Akutagawa Aika,JPN,0,0,0,,,0
250,8,Ogoms Alicia,CAN,0,0,0,,,0
251,22,Snape Kennedy Brooklyn,CAN,0,0,9,0.0,0.0,9
252,27,Bukilic Vanja,SRB,0,0,1,0.0,0.0,1
253,33,Cvetkovic Jovana,SRB,0,0,9,0.0,0.0,9
254,23,Robinson Kelsey,USA,0,1,29,0.0,0.0,30
255,24,Ogbogu Chiaka,USA,0,1,1,0.0,0.0,2
256,11,Nabeya Yurie,JPN,0,0,2,0.0,0.0,2
257,24,Pipunyrova Ekaterina,RUS,0,0,1,0.0,0.0,1
258,4,Plak Celeste,NED,0,1,3,0.0,0.0,4
259,18,Gunes Zehra,TUR,0,0,9,0.0,0.0,9
260,13,Jasper Hester,NED,0,0,0,,,0
261,12,Lazareva Anna,RUS,0,0,1,0.0,0.0,1
262,19,Podkopaeva Anna,RUS,0,0,36,0.0,0.0,36
263,16,Sahin Saliha,TUR,0,0,0,,,0
264,20,Cebecioglu Derya,TUR,0,0,0,,,0
265,11,De Tant Amber,BEL,0,0,0,,,0
266,1,Yuan Xinyue,CHN,0,0,13,0.0,0.0,13
267,2,Zhu Ting,CHN,0,1,18,0.0,0.0,19
268,6,Gong Xiangyu,CHN,0,1,11,0.0,0.0,12
269,12,Li Yingying,CHN,0,0,9,0.0,0.0,9
270,25,Reesink Florien,NED,0,0,0,,,0
271,25,Piva Rebecca,ITA,0,0,3,0.0,0.0,3
272,22,Aydin İlkin,TUR,0,0,3,0.0,0.0,3
273,17,Oude Luttikhuis Nicole,NED,0,0,0,,,0
274,12,Pereira Natalia,BRA,0,0,3,0.0,0.0,3
